"GEO_ID","NAME","B19001G_001E","B19001G_001M","B19001G_001MA","B19001G_001EA","B19001G_002E","B19001G_002EA","B19001G_002M","B19001G_002MA","B19001G_003E","B19001G_003EA","B19001G_003M","B19001G_003MA","B19001G_004E","B19001G_004EA","B19001G_004M","B19001G_004MA","B19001G_005E","B19001G_005EA","B19001G_005M","B19001G_005MA","B19001G_006E","B19001G_006EA","B19001G_006M","B19001G_006MA","B19001G_007E","B19001G_007EA","B19001G_007M","B19001G_007MA","B19001G_008E","B19001G_008EA","B19001G_008M","B19001G_008MA","B19001G_009E","B19001G_009EA","B19001G_009M","B19001G_009MA","B19001G_010E","B19001G_010EA","B19001G_010M","B19001G_010MA","B19001G_011E","B19001G_011EA","B19001G_011M","B19001G_011MA","B19001G_012E","B19001G_012EA","B19001G_012M","B19001G_012MA","B19001G_013E","B19001G_013EA","B19001G_013M","B19001G_013MA","B19001G_014E","B19001G_014EA","B19001G_014M","B19001G_014MA","B19001G_015E","B19001G_015EA","B19001G_015M","B19001G_015MA","B19001G_016E","B19001G_016M","B19001G_016MA","B19001G_016EA","B19001G_017E","B19001G_017EA","B19001G_017M","B19001G_017MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Less than $10,000","Annotation of Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Annotation of Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Annotation of Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Annotation of Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Annotation of Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Annotation of Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Annotation of Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Annotation of Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Annotation of Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Annotation of Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Annotation of Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Annotation of Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Annotation of Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Annotation of Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Annotation of Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Annotation of Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Annotation of Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Annotation of Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Annotation of Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Annotation of Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Annotation of Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Annotation of Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Annotation of Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Annotation of Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Annotation of Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Annotation of Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Annotation of Margin of Error!!Total:!!$150,000 to $199,999","Annotation of Estimate!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Annotation of Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more","Annotation of Margin of Error!!Total:!!$200,000 or more",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","12","22","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","3","null","4","null","0","null","19","null","0","null","19","null","0","null","19","null","9","null","22","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","10","15","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","10","null","15","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","10","11","null","null","0","null","19","null","5","null","7","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","5","null","7","null","0","null","19","null","0","19","null","null","0","null","19","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","7","15","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","7","null","15","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001944301","Census Tract 9443.01, Apache County, Arizona","4","7","null","null","0","null","13","null","0","null","13","null","4","null","7","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001944302","Census Tract 9443.02, Apache County, Arizona","5","8","null","null","0","null","13","null","0","null","13","null","0","null","13","null","5","null","8","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","12","10","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","4","null","5","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","4","null","6","null","4","null","6","null","0","null","13","null","0","13","null","null","0","null","13","null",
