"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B19001E_001E","Estimate!!Total:"
"B19001E_001EA","Annotation of Estimate!!Total:"
"B19001E_001M","Margin of Error!!Total:"
"B19001E_001MA","Annotation of Margin of Error!!Total:"
"B19001E_002E","Estimate!!Total:!!Less than $10,000"
"B19001E_002M","Margin of Error!!Total:!!Less than $10,000"
"B19001E_002MA","Annotation of Margin of Error!!Total:!!Less than $10,000"
"B19001E_002EA","Annotation of Estimate!!Total:!!Less than $10,000"
"B19001E_003E","Estimate!!Total:!!$10,000 to $14,999"
"B19001E_003EA","Annotation of Estimate!!Total:!!$10,000 to $14,999"
"B19001E_003M","Margin of Error!!Total:!!$10,000 to $14,999"
"B19001E_003MA","Annotation of Margin of Error!!Total:!!$10,000 to $14,999"
"B19001E_004E","Estimate!!Total:!!$15,000 to $19,999"
"B19001E_004EA","Annotation of Estimate!!Total:!!$15,000 to $19,999"
"B19001E_004M","Margin of Error!!Total:!!$15,000 to $19,999"
"B19001E_004MA","Annotation of Margin of Error!!Total:!!$15,000 to $19,999"
"B19001E_005E","Estimate!!Total:!!$20,000 to $24,999"
"B19001E_005EA","Annotation of Estimate!!Total:!!$20,000 to $24,999"
"B19001E_005M","Margin of Error!!Total:!!$20,000 to $24,999"
"B19001E_005MA","Annotation of Margin of Error!!Total:!!$20,000 to $24,999"
"B19001E_006E","Estimate!!Total:!!$25,000 to $29,999"
"B19001E_006M","Margin of Error!!Total:!!$25,000 to $29,999"
"B19001E_006MA","Annotation of Margin of Error!!Total:!!$25,000 to $29,999"
"B19001E_006EA","Annotation of Estimate!!Total:!!$25,000 to $29,999"
"B19001E_007E","Estimate!!Total:!!$30,000 to $34,999"
"B19001E_007EA","Annotation of Estimate!!Total:!!$30,000 to $34,999"
"B19001E_007M","Margin of Error!!Total:!!$30,000 to $34,999"
"B19001E_007MA","Annotation of Margin of Error!!Total:!!$30,000 to $34,999"
"B19001E_008E","Estimate!!Total:!!$35,000 to $39,999"
"B19001E_008EA","Annotation of Estimate!!Total:!!$35,000 to $39,999"
"B19001E_008M","Margin of Error!!Total:!!$35,000 to $39,999"
"B19001E_008MA","Annotation of Margin of Error!!Total:!!$35,000 to $39,999"
"B19001E_009E","Estimate!!Total:!!$40,000 to $44,999"
"B19001E_009EA","Annotation of Estimate!!Total:!!$40,000 to $44,999"
"B19001E_009M","Margin of Error!!Total:!!$40,000 to $44,999"
"B19001E_009MA","Annotation of Margin of Error!!Total:!!$40,000 to $44,999"
"B19001E_010E","Estimate!!Total:!!$45,000 to $49,999"
"B19001E_010EA","Annotation of Estimate!!Total:!!$45,000 to $49,999"
"B19001E_010M","Margin of Error!!Total:!!$45,000 to $49,999"
"B19001E_010MA","Annotation of Margin of Error!!Total:!!$45,000 to $49,999"
"B19001E_011E","Estimate!!Total:!!$50,000 to $59,999"
"B19001E_011EA","Annotation of Estimate!!Total:!!$50,000 to $59,999"
"B19001E_011M","Margin of Error!!Total:!!$50,000 to $59,999"
"B19001E_011MA","Annotation of Margin of Error!!Total:!!$50,000 to $59,999"
"B19001E_012E","Estimate!!Total:!!$60,000 to $74,999"
"B19001E_012EA","Annotation of Estimate!!Total:!!$60,000 to $74,999"
"B19001E_012M","Margin of Error!!Total:!!$60,000 to $74,999"
"B19001E_012MA","Annotation of Margin of Error!!Total:!!$60,000 to $74,999"
"B19001E_013E","Estimate!!Total:!!$75,000 to $99,999"
"B19001E_013M","Margin of Error!!Total:!!$75,000 to $99,999"
"B19001E_013MA","Annotation of Margin of Error!!Total:!!$75,000 to $99,999"
"B19001E_013EA","Annotation of Estimate!!Total:!!$75,000 to $99,999"
"B19001E_014E","Estimate!!Total:!!$100,000 to $124,999"
"B19001E_014EA","Annotation of Estimate!!Total:!!$100,000 to $124,999"
"B19001E_014M","Margin of Error!!Total:!!$100,000 to $124,999"
"B19001E_014MA","Annotation of Margin of Error!!Total:!!$100,000 to $124,999"
"B19001E_015E","Estimate!!Total:!!$125,000 to $149,999"
"B19001E_015EA","Annotation of Estimate!!Total:!!$125,000 to $149,999"
"B19001E_015M","Margin of Error!!Total:!!$125,000 to $149,999"
"B19001E_015MA","Annotation of Margin of Error!!Total:!!$125,000 to $149,999"
"B19001E_016E","Estimate!!Total:!!$150,000 to $199,999"
"B19001E_016EA","Annotation of Estimate!!Total:!!$150,000 to $199,999"
"B19001E_016M","Margin of Error!!Total:!!$150,000 to $199,999"
"B19001E_016MA","Annotation of Margin of Error!!Total:!!$150,000 to $199,999"
"B19001E_017E","Estimate!!Total:!!$200,000 or more"
"B19001E_017EA","Annotation of Estimate!!Total:!!$200,000 or more"
"B19001E_017M","Margin of Error!!Total:!!$200,000 or more"
"B19001E_017MA","Annotation of Margin of Error!!Total:!!$200,000 or more"
